song_id,artist,title,dominant_emotion,dominant_sentiment,emotion_distribution,sentiment_distribution
6636486,ericdoa,​finale,fear,negative,"{'anticipation': 0.06182829371505975, 'joy': 0.08869157556220983, 'trust': 0.0970449331397156, 'surprise': 0.07968010112369948, 'fear': 0.28794952925855993, 'sadness': 0.19913476685435244, 'anger': 0.12058284151816227, 'disgust': 0.06508795882824069}","{'positive': 0.36503335364369477, 'negative': 0.6349666463563052}"
5955393,Naevus,Waste,sadness,negative,"{'anticipation': 0.15392337119797964, 'sadness': 0.23347880845253888, 'disgust': 0.15307431087619872, 'fear': 0.1149729920957367, 'joy': 0.07353417426456545, 'surprise': 0.07353417426456545, 'trust': 0.13581122988706873, 'anger': 0.061670938961346476}","{'negative': 0.6384940881286107, 'positive': 0.3615059118713892}"
4191823,Willie Waters,Pressure,anger,negative,"{'trust': 0.14972792635342738, 'anticipation': 0.1372842631448891, 'fear': 0.06539444304741085, 'joy': 0.12259372147437941, 'surprise': 0.15369974195322084, 'anger': 0.1925187479938921, 'disgust': 0.11160748275222508, 'sadness': 0.06717367328055536}","{'positive': 0.09638249618713601, 'negative': 0.903617503812864}"
2332562,C. Baum,Noteriety Part 2,anticipation,negative,"{'fear': 0.14842916043595794, 'sadness': 0.17171755608056619, 'anger': 0.16532573738975737, 'disgust': 0.09144609367700637, 'surprise': 0.035832853345059444, 'anticipation': 0.2864373689290091, 'trust': 0.06205230177165116, 'joy': 0.03875892837099239}","{'negative': 0.5024719038367123, 'positive': 0.49752809616328786}"
3973995,Wolfbrigade,Waist Deep,sadness,negative,"{'disgust': 0.22351475673801016, 'sadness': 0.29515487316137373, 'fear': 0.10858402089934216, 'trust': 0.2861271257557221, 'anger': 0.04242344634090748, 'anticipation': 0.0441957771046443}","{'negative': 0.6586956686630546, 'positive': 0.3413043313369453}"
1565295,Rescuer,Faded Youth,sadness,negative,"{'anger': 0.10965733507202173, 'joy': 0.1677954111578485, 'trust': 0.11748767248286143, 'disgust': 0.1350623331555955, 'fear': 0.1350623331555955, 'sadness': 0.20008202691352225, 'surprise': 0.03738569463268801, 'anticipation': 0.09746719342986711}","{'negative': 0.5454406496871421, 'positive': 0.4545593503128578}"
5793160,Devboy,Haku,joy,positive,"{'joy': 0.3453521999042786, 'fear': 0.2047999731100586, 'sadness': 0.08631357752232424, 'anger': 0.05903691220799041, 'disgust': 0.044357642168321325, 'anticipation': 0.10164305217660395, 'surprise': 0.11396036196405152, 'trust': 0.04453628094637141}","{'positive': 0.5830634797802223, 'negative': 0.4169365202197778}"
3325359,Valley Cult,French Accident,anticipation,positive,"{'anticipation': 0.3874774847560576, 'joy': 0.28836139566967584, 'surprise': 0.28836139566967584, 'disgust': 0.03579972390459064}","{'negative': 0.02200775045132031, 'positive': 0.9779922495486797}"
3407310,Saltnpaper,Paean,anticipation,negative,"{'anticipation': 0.3406176117533963, 'fear': 0.28443444190927514, 'sadness': 0.2797650541340365, 'joy': 0.025448525696878117, 'surprise': 0.04428584080953599, 'trust': 0.025448525696878117}","{'positive': 0.3866040196498757, 'negative': 0.6133959803501243}"
1591319,J Church,Birthday,anticipation,positive,"{'anticipation': 0.36513521442094193, 'trust': 0.06459778085010696, 'joy': 0.29602290786402974, 'surprise': 0.2553503619577784, 'fear': 0.016020075191067663, 'sadness': 0.0028736597160751013}","{'negative': 0.021652687699731346, 'positive': 0.9783473123002687}"
6922273,Danielle Apicella,Fly,sadness,negative,"{'anticipation': 0.056756639765910485, 'trust': 0.0300288159133451, 'joy': 0.015244483419357625, 'fear': 0.44394988361855175, 'sadness': 0.45110499735974396, 'surprise': 0.002915179923091143}","{'positive': 0.10311949090064353, 'negative': 0.8968805090993565}"
272492,BrianMC,Rap God Brian Version,anticipation,negative,"{'anticipation': 0.5384013916186204, 'anger': 0.1971749731806492, 'joy': 0.26442363520073026}","{'negative': 0.6385597333134144, 'positive': 0.36144026668658563}"
1062758,Robert Earl Keen,Im Comin Home,joy,positive,"{'sadness': 0.17626528548069503, 'joy': 0.38681952414077847, 'anticipation': 0.13648019111685186, 'surprise': 0.06510106777622031, 'trust': 0.12026976406319562, 'disgust': 0.04501558672898829, 'fear': 0.07004858069327043}","{'negative': 0.3638887156425306, 'positive': 0.6361112843574694}"
4582341,RealRose,Aint Goin Back Remix,sadness,negative,"{'anger': 0.325286391379363, 'disgust': 0.3253435010728002, 'sadness': 0.32553904977620834, 'anticipation': 0.006248727308142663, 'joy': 0.007468722851940071, 'trust': 0.007395494251932141, 'fear': 0.0015766231288039032, 'surprise': 0.0011414902308097058}","{'positive': 0.02722489152429388, 'negative': 0.9727751084757061}"
4529165,Kool A.D.,The Planet Is Doomed,trust,positive,"{'trust': 0.15971365092166878, 'fear': 0.13926313487139064, 'sadness': 0.07720458936010823, 'anger': 0.11744582598155594, 'disgust': 0.0819614651303272, 'surprise': 0.12687561176916923, 'anticipation': 0.15289284960534238, 'joy': 0.1446428723604376}","{'positive': 0.5662032982387394, 'negative': 0.4337967017612606}"
5434494,Mumrunner,Rut,anger,negative,"{'anger': 0.12499999999999999, 'anticipation': 0.12499999999999999, 'disgust': 0.12499999999999999, 'fear': 0.12499999999999999, 'joy': 0.12499999999999999, 'sadness': 0.12499999999999999, 'surprise': 0.12499999999999999, 'trust': 0.12499999999999999}","{'negative': 0.5, 'positive': 0.5}"
