title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
​finale,rap,ericdoa,2021,13208,{​ericdoa},"[Intro: dante red & ericdoa]
I watched you grow as a person
I saw every move that you did
Every accolade, every achievement, I was there for
You think I don’t know that?
I know you were, it’s just- it's not in my control anymore
I can't, I can't control it
So what are you gonna do, abandon everything you started with?
No, no, that’s not my intention at all, I'm not abandoning anything
You saw what life was like before any of this
I need to eat, I need to do things
And if that means I can't, you know, do the things that I did with you before then-
It sucks, but that's just the way things have to go
I get it, fuck you dude
Bro, come on, don't
Alright

[Chorus: dante red & ericdoa]
Jigs up, I don't wanna fight but put your fists up
Bitcrushed, signed a piece of paper, now you switchеd up
I blew you up, if it wasn't for my song, you wouldn't see the bucks
Beat him up, know I can't gеt betrayed, you can't be with us
Oh, it's like that?
Paint me as a monster, guess it's my bad
Sidetracked, I gotta let you go to get my mind back
Fuck you, everybody knows that I loved you
So did I, I'm the only one that understand your mind
[Verse 1: dante red & ericdoa]
Try to take me out, then that's a bad move (Huh)
Just like everyone I knew that you would act new (Huh)
Man, why come at me? I never would attack you
Separation, that's the only thing that cash do
To be honest, don't wanna end tonight
You're supposed to be a friend of mine
I would never end up switching sides
If I kill you, then it's suicide
So how you gonna do it right?
I was there for ""do or die""
I just wanna see you shine
And now I'm gettin' left behind
If it's the end of you, then it's the end of me
Don't want my only friend to be my enemy
I try my hardest to protect you
But if I wanna be an artist, gotta dead you
Oh, okay
What you mean that we can't do it together?
When I'm with you, I swear things always better
I'm glad you think that it's better
But in my mind think it's worse
People think that I'm you
And that comparison hurts
It's not what I deserve
Then what do you want?
It's better than an artist fuckin' putting you on
You did this all by yourself
You didn't need any help
[Chorus: dante red & ericdoa]
Jigs up, I don't wanna fight but put your fists up
Bitcrushed, signed a piece of paper, now you switched up
I blew you up, if it wasn't for my song, you wouldn't see the bucks
Beat him up, know I can't get betrayed, you can't be with us
Oh, it's like that?
Paint me as a monster, guess it's my bad
Sidetracked, I gotta let you go to get my mind back
Fuck you, everybody knows that I loved you
So did I, I'm the only one that understand your mind

[Verse 2: dante red & ericdoa]
No matter what happens just know, I'm still here
On the angels around me, you'll have a good year
And the same to you
If it was up to me, then I would change the rules
Man, just forget about that, focus on your bag
Ayy, history repeat itself, just know I'm coming back
Ha, I guess that's facts
You can meet me at the dropoff for one last laugh
(Hahaha, you're funny)",6636486,en,en,en
Waste,rock,Naevus,2002,10,{},"[Verse 1]
Long will be the passing day
Strong will be the urge to stay
Resigned to slump beneath the need
Designed to incubate the seed
Bend beneath
The weight, the grief
And so control
Your goal
See in objects’ static lines
The moving plan that they refine
Read into a body’s needs
The intention to deceive
The lid you lift
Will set you adrift
Because your skin
Is thin

[Verse 2]
The senses by themselves feel strange
And through them you hope to arrange
Actions into present facts
Activities into real lacks
Look: they show
The empty flow
That runs through
The things you do
You could be wrong and in which case
You should resolve to now displace
Effluvium, the rind of dreams
To flush it out in uric streams
Smell the waste
Without distaste
It will reveal
What you really feel",5955393,en,en,en
Pressure,rap,Willie Waters,2018,248,"{""Solo Vic""}","[Intro]
Yeah
Waz Up
Haha
Aye
I swear to God everything so good
Feeling good aye
Im in this bih with my nigga Solo Vic
Aye, Aye, Aye
And you know who I go by
I go by the name
Willie Waters

[Bridge: Willie Waters]
We smoke
Pressure
Niggas don't want no pressure
All my niggas they next up
Got too much sauce no ketchup
We smoke
Pressure
Niggas don't want no pressure
All my niggas they next up
Got too much sauce no ketchup
[Chorus: Solo Vic]
Man this niggas don't want no pressure they don't want no smoke
Niggas always talking shit that they don't really know
Niggas say they got that gas but they ain't got that dro
All im smoking is that pressure they don't smoke like we smoke
Man these niggas don't want no pressure
These niggas don't want no pressure, aye
These niggas don't want no pressure
These niggas don't want no pressure, aye
Yeah
Yeah

[Verse 1: Solo Vic]
All about the pressure
All about the smoke
Say you got money well nigga no you don't
Pull up with some pressure nigga no you won't
Choppa hit a nigga to his skull and bones
I got what you need
I got what you want
I been counting benji's
That's what I been on
I been grinding from night til the dawn
Pussy nigga try me you know what i'm on
Applying the pressure and know i ain't gon let up
These niggas be faking i'm tired and fed up
I'm winning the race so they better catch up
They asking for money better run they bands up
Police try to get me they told me hands up
I was raised a man so i'm finna stand up
I ain't taking no L's cuz im finna man up
That's why i got up and had to run my bands up
[Chorus: Solo Vic]
Man this niggas don't want no pressure they don't want no smoke
Niggas always talking shit that they don't really know
Niggas say they got that gas but they ain't got that dro
All im smoking is that pressure they don't smoke like we smoke
Man these niggas don't want no pressure
These niggas don't want no pressure, aye
These niggas don't want no pressure
These niggas don't want no pressure, aye
Yeah
Yeah

[Bridge: Willie Waters]
We smoke
Pressure
Niggas don't want no pressure
All my niggas they next up
Got too much sauce no ketchup
We smoke
Pressure
Niggas don't want no pressure
All my niggas they next up
Got too much sauce no ketchup

[Verse 2: Willie Waters]
I jumped in the wip and go crazy
Oh he mad cause i fucked his ole lady
He say that he hustle he lazy
I be going so hard I amaze me
She told me she wanted her back stroked
I jumped in her water and backstroked
You hit the stage and then you choked
Shawty a freak she like being choked
We crossed the water in speed boats
Moving grade A up and down the coast
We bout that bread leave a nigga toasted
Niggas is bitches they do the most
Roll up to get my mind gone
Jumped off the jet different time zone
Big Tymer get my shine on
He wanna talk, nigga dial tone
[Bridge: Willie Waters]
We smoke
Pressure
Niggas don't want no pressure
All my niggas they next up
Got too much sauce no ketchup
We smoke
Pressure
Niggas don't want no pressure
All my niggas they next up
Got too much sauce no ketchup

[Chorus: Solo Vic]
Man this niggas don't want no pressure they don't want no smoke
Niggas always talking shit that they don't really know
Niggas say they got that gas but they ain't got that dro
All im smoking is that pressure they don't smoke like we smoke
Man these niggas don't want no pressure
These niggas don't want no pressure, aye
These niggas don't want no pressure
These niggas don't want no pressure, aye
Yeah
Yeah",4191823,en,en,en
Noteriety Part 2,rap,C. Baum,2015,23,{},"Check it-
They wanna know what Floss 'bout?
Lyrically I'll leave you chalked out
Bossed out, got the goomar that's straight from Moscow
Lifestyle, took a lot to live it, we the illest
We push it to the limit, the profile so prolific
The dreams I fulfilled it
Thought you knew? Got them goose bump rhymes cause it bump
But you felt it, that's real shit
See them tryna bring me down, but homie I built this
See the cops and we turn the dopiness down a lil' bit
I won't quit, I been in this since I was a lil' kid
Not only my flow but the red carpet silky
Still stay the slang I made, you could say I paved the way
The trail I blazed, yo, just raise my pay
I face the day, I do it in a major way
It ain't the floor she upon so no Major Laze'
The ace of spades I po' it, really though I don't show it
Cause I got a bunch of them in my poker hand
Yeah, I'm the financier and the broker man
Goin' ham, only brand new I'm in, I gave away my Volcomn, man
From the land before time, my co-sign's that this whole time I've never been off my grind
Dial in my hotline, you drop dimes need to stop snitchin'
Made the decision to really just start spittin' and kill em
Made the decision to really just start spittin' and kill em
Made the decision to really just start spittin' and kill em...
And it's like hot damn, you know who I am
Do it all for my fam, adjust the program
If you don't understand, believe in the plan
Never knew that I could, but now I'm seeing I can (x2)

Yeah, and there's no denyin' me
Also known by the name C. Noteriety
Y'all ain't half as fly as me if you had one wing
Finna push it to the limit like a drug kingpin
It seems like America just knows one thing
Put our values on pause for some entertainment
So many people in charge you couldn't even blame them
Get it or I gotta come in layman's?
Remember better days when and wonder where them days went
And how we lost our innocence in a sense
But ever since I've been the main event, what I represent?
Better than you ever been, ah, I let that settle in
I turn it up to eleven when I get it in
It all depends on the remedies, I got em passed down the like medicine man
And I'ma, make sure they remember it man

And now it's like hot damn, you know who I am
Do it all for my fam, adjust the program
If you don't understand, believe in the plan
Never knew that I could, but now I'm seeing I can (x2)",2332562,en,en,en
Waist Deep,rock,Wolfbrigade,2007,47,{},"Sick of ego
A life in pain
Pity me
Descending like rain

I'm waist deep
In a hail of id

Sick of downing
The bitter pill
Shaky hands
Heading for a spill

I'm waist deep
In a hail of id

Sick of sorrow
Through with shame
I'll ride the thunder
Won't come out the same
I'm waist deep
In a hail of id",3973995,en,en,en
Faded Youth,rock,Rescuer,2013,21,{},"Feel the years cut like stone through every promise made, every memory
And I'll find a way to laugh as we look back to those days
And what we thought we knew
Through the static of the past we'll squint our eyes and say
""I can see it all fading away
Fading away.""
It comes to me now as a silhouette
I'll spend the rest of my life in the shadow of yesterdays
In the best of intentions, failure has found its home
It's as if I've lost my will to grow, finding comfort in stagnant dreams
Stare into the eyes of the ones I love and find people I'll never know
""The weight of the world is love under the burden of solitude, under the burden of dissatisfaction."" - Allen Ginsberg
This new progression seems more like a dead end
Like a dead end to me",1565295,en,en,en
Haku,rap,Devboy,2019,20,{},"[Intro]
Let me take your hand
Let me take your hand

[Verso 1]
Let me take your hand
Shorty I love your nails
My whole world stops when you text me I love you babe
I know that you're afraid
Baby i'm also afraid
But I can tell you I get strong when you're around me girl

I love the rainy days
I see you in the rain
Damn, I miss you every fucking day I miss you babe
I wrote a song for you
I hope you like it too
I just wanted you to know how much I love you

[Puente]
Let me take your hand
I know that you're afraid
[Verso 2]
I heard that you're in town
Come on lets just walk around
A friend told me 'bout a coffee shop you'll love just down the town
Kiss me now
I want you to tell me just to kiss you know
I miss you a lot
I know you hate this place, but please don't leave me know

You're my B.A.E. and you will be forever
I know you miss me too, and you're not feeling better
No one loves you like I do and that's what hurts you I felt it
So please come back and stop the pain forever",5793160,en,en,en
French Accident,rock,Valley Cult,2017,5,{},"I feel out of place
I'm not sure what I'm to do its wrong
It takes so long

You are out of control
You are out of control

I dream about that kiss thought I'd be fine your nose brushing mine
I dream about that kiss thought I'd be fine you crossed the line

You are out of control
You are out of control

I dream about that kiss thought I'd be fine your nose brushing mine
I dream about that kiss thought I'd be fine you crossed the line
I dream of your kiss it's fine
I dream of your kiss",3325359,en,en,en
Paean,pop,Saltnpaper,2018,804,{},"How long when we have infinite time
This time will go on only our light will never die
I’ll die to find my place to hide away
You’ll be my only angel
To catch me when I fall from grace through time and space
Yeah you are
Yeah you are

I go to heaven and back just so I could find you
To tell you there’s nothing I wouldn’t do
Or just stay there to see this through
I give my heart I give it all up for you

And we’ll take this to the other side

How long when we have infinite time
This time wil go on only our light will never die
Never die

I go to heaven and back just so I could find you
To tell you there’s nothing I wouldn’t do
Or just stay there to see this through
I give my heart I give it all up for you
And we’ll take this to the other side
And we’ll make it pass the light
If I could just free
I’ll be with you",3407310,en,en,en
Birthday,pop,J Church,1994,36,{},"I thought it was your turn to feel alone
But I knew I was wrong when I hung up the phone
You've got Mom's eyes and so do I
Evident in every tone

So I write another letter
But it all adds up to nothing
Today is your birthday
Have a happy birthday
There's nothing that you wanted

I thought I would have a good explanation
I wanna go back for your high school graduation
When you cut your lines through the midnight brine
It'll be to your best advantage

So I write another letter
But it all adds up to nothing
Today is your birthday
Have a happy birthday
There's nothing that you wanted
So I write another letter
But it all adds up to nothing
Today is your birthday
Have a happy birthday
There's nothing that you wanted",1591319,en,en,en
